SN229: c:0.0674420903374 t0:0.0465091707262 x0:1.40687611651e-05 x1:0.0980481495535 
SN230: c:0.0424306645189 t0:0.0358428925962 x0:2.85634541605e-05 x1:0.0395489655578 
SN231: c:0.0148705677895 t0:0.025859223353 x0:4.04456128838e-05 x1:0.0963627149132 
SN232: c:0.0518414925087 t0:0.0652503372385 x0:1.80932154389e-05 x1:0.140169086166 
SN233: c:0 t0:0 x0:0 x1:0
SN234: c:0.0498702155481 t0:0.0532236904491 x0:2.07252286779e-05 x1:0.0501800119717 
SN235: c:0.0194590630649 t0:0.0264229989022 x0:0.000141321120733 x1:0.0519179175732 
SN236: c:0.0175299424658 t0:0.0225967771707 x0:0.000218761673017 x1:0.0420584385631 
SN237: c:0.0546722363641 t0:0.0582647180247 x0:1.9528383286e-05 x1:0.145091325813 
SN238: c:0 t0:0 x0:0 x1:0
SN239: c:0.0182113184955 t0:0.0175585715806 x0:0.000140856898066 x1:0.0151362234527 
SN240: c:0.060270613882 t0:0.065755548417 x0:9.81369060856e-06 x1:0.164641273292 
SN241: c:0.0244967155009 t0:0.0202946089831 x0:5.57894466512e-05 x1:0.0214941870254 
SN242: c:0.0466911484491 t0:0.0533792472824 x0:6.66514634706e-06 x1:0.193603180719 
SN243: c:0.36414692336 t0:0.312735325008 x0:0.00158811513385 x1:2.27339771476 
SN244: c:0.0495764481064 t0:0.0571289461147 x0:2.70455655439e-05 x1:0.0526488718078 
SN245: c:0.00291058244633 t0:0.00287659650414 x0:0.00121010459862 x1:0.0045779049091 
SN246: c:0.0582367648221 t0:0.0629935812992 x0:0.00159510630722 x1:0.125766261334 
SN247: c:0 t0:0 x0:0 x1:0
SN248: c:0.0370186566472 t0:0.112369163412 x0:8.92252681921e-05 x1:0.0666977310645 
SN249: c:0.0644777753104 t0:0.0655980772983 x0:1.47762209654e-05 x1:0.0860025108829 
SN250: c:0.0251051332334 t0:0.0301282330066 x0:6.46739687552e-05 x1:0.0727810651529 
SN251: c:0.0141475727946 t0:0.0228531076318 x0:0.000116307139155 x1:0.0578758262325 
SN252: c:0.0548274362225 t0:0.0665545834227 x0:2.57117396377e-05 x1:0.114121742309 
SN253: c:0 t0:0 x0:0 x1:0
SN254: c:0.0443258934826 t0:0.0533183697224 x0:1.68379421574e-05 x1:0.126761364687 
SN255: c:0.0303787277762 t0:0.0380762866232 x0:0.000158383054833 x1:0.0783559305053 
SN256: c:0.0387614144095 t0:0.0440297221878 x0:0.000102385819624 x1:0.0661955589744 
SN257: c:0.0324141436651 t0:0.0285048410255 x0:4.07948489853e-05 x1:0.0268196797369 
SN258: c:0 t0:0 x0:0 x1:0
SN259: c:0.0801254234655 t0:0.334343477101 x0:0.0012716312969 x1:1.73300212636 
SN260: c:0 t0:0 x0:0 x1:0
SN261: c:0.0106796615042 t0:0.0793674422624 x0:0.000112111657839 x1:0.295868513068 
SN262: c:0 t0:0 x0:0 x1:0
SN263: c:0.0521719602928 t0:0.0664203431223 x0:1.70334950307e-05 x1:0.136503284019 
SN264: c:0.036960788171 t0:0.0466637887993 x0:7.28525586043e-06 x1:0.0383400968923 
SN265: c:0.179289543426 t0:0.0718509894662 x0:0.00051489528053 x1:0.247330493127 
SN266: c:0 t0:0 x0:0 x1:0
SN267: c:0.0116231997411 t0:0.0115374970705 x0:0.000399838210511 x1:0.0141656069103 
