time flux flux_err zp zpsys filter
-2451561.478433 662.3433270000005 27.624247141881813 25.47 ab kst
-2451561.457999 646.2648369999997 27.03799028516373 25.47 ab kst
-2451561.437565 615.6658310000003 25.89990290032236 25.47 ab kst
-2451561.417132 620.1994070000001 26.076733620289133 25.47 ab kst
-2451561.396698 629.0686919999998 26.405879329840662 25.47 ab kst
-2451561.376265 595.2636810000004 25.14348356279502 25.47 ab kst
-2451561.355831 576.6276719999996 24.46073973882848 25.47 ab kst
-2451561.335397 585.6662590000005 24.78619410608685 25.47 ab kst
-2451561.314964 579.726439 24.55524017222469 25.47 ab kst
-2451561.29453 585.2945060000002 24.781036284015663 25.47 ab kst
-2451561.253663 688.7496789999996 28.516586988733188 25.47 ab kst
-2451561.233229 655.4991399999999 27.30716236952208 25.47 ab kst
-2451561.212796 649.356761 27.084540545602817 25.47 ab kst
-2451561.192362 673.1346590000003 27.945565456098276 25.47 ab kst
-2451561.171928 623.7994079999999 26.13491944888072 25.47 ab kst
-2451561.151495 620.0607250000003 26.005740860867956 25.47 ab kst
-2451561.131061 602.3160969999999 25.337222846792994 25.47 ab kst
-2451561.110628 597.1023569999998 25.145096357369635 25.47 ab kst
-2451561.090194 638.0816399999994 26.6578979708715 25.47 ab kst
-2451561.06976 578.7684439999994 24.463527674353585 25.47 ab kst
-2451561.049327 573.3614429999998 24.259096263910738 25.47 ab kst
-2451561.00846 665.2798339999999 27.59571022163699 25.47 ab kst
-2451560.988026 689.3227979999992 28.45741767110477 25.47 ab kst
-2451560.967593 670.9723169999997 27.798706928718214 25.47 ab kst
-2451560.947159 627.502571 26.20338762735646 25.47 ab kst
