SN200: c:0.040943052541587775 t0:2.0062473445168676 x0:2.418181773401142e-05 x1:0.5370954712446808 
SN201: c:0.06122830644813884 t0:2.5877807346531254 x0:8.367317916981314e-05 x1:0.5601008452310986 
SN202: c:0.06666852567390504 t0:2.8736331677336784 x0:6.42283195067236e-05 x1:0.6753860078110004 
SN203: c:0.06938822474050084 t0:1.0056115201329507 x0:2.9811258881961942e-05 x1:0.5813950923437012 
SN204: c:0.05945008609452168 t0:1.576399282026469 x0:6.38597019983228e-05 x1:0.7791935797587147 
SN205: c:0.06158845658772923 t0:4.846648085976246 x0:9.206386669946438e-05 x1:0.711528961255362 
SN206: c:0.027097980187786797 t0:0.4457105988779683 x0:2.8094959872622323e-05 x1:0.3944602732008374 
SN207: c:0 t0:0 x0:0 x1:0 
SN208: c:0.0569743446558259 t0:3.4424498035504714 x0:5.1712109572032595e-05 x1:0.7520128979432629 
SN209: c:0.07715833298912543 t0:3.715907554547062 x0:6.279159027369214e-05 x1:0.6831838591906307 
SN210: c:0.026642585113301774 t0:0.45201542137331346 x0:1.809406726240975e-05 x1:0.5108753221073095 
SN211: c:0.051930785574470915 t0:5.07479547630015 x0:5.9001251618233485e-05 x1:0.8065144632126556 
SN212: c:0.15273808500373756 t0:3.4372595533190835 x0:0.0003047106989430713 x1:0.6158053213569308 
SN213: c:0.071931949332722 t0:4.387776582563547 x0:2.6674579177061216e-05 x1:0.6963866498620604 
SN214: c:0.0456107296811354 t0:2.059170179973217 x0:2.1286112608453553e-05 x1:0.5412743804340474 
SN215: c:0.08376311564813516 t0:14.785106298090835 x0:0.0004033586107105839 x1:0.7403238842814099 
SN216: c:0.051643955237607474 t0:4.853305668579239 x0:5.4370883253381414e-05 x1:0.5665777441943078 
SN217: c:0.09982463788078852 t0:6.1292526602003825 x0:5.3488361707681724e-05 x1:0.7846568924185098 
SN218: c:0.01765903211165646 t0:0.11508713413112692 x0:9.901049921429953e-05 x1:0.17658937672582553 
SN219: c:0.08171827966266365 t0:10.546115647199812 x0:0.0002058798827080242 x1:0.7379626866079532 
SN220: c:0.05370024823637866 t0:1.6825858522755766 x0:3.403588749087535e-05 x1:0.5175969400131091 
SN221: c:0.08035784818525173 t0:14.45586835823963 x0:0.0001787122884705388 x1:0.7949806646316229 
SN222: c:0.04017751112602961 t0:0.5450052754234007 x0:1.5198931944321313e-05 x1:0.4281447972126705 
SN223: c:0.02856223128233517 t0:4.222580866926222 x0:2.3551734467854623e-05 x1:0.5657975296287578 
SN224: c:0.050189750853536205 t0:0.7032552473732927 x0:2.705159401415576e-05 x1:0.6296772183695464 
SN225: c:0.04209981399360846 t0:2.315852322060627 x0:1.4296746877849358e-05 x1:0.723122754239482 
SN226: c:0.049229930155415075 t0:2.402211082407976 x0:2.0294193879573572e-05 x1:0.5956330189878537 
SN227: c:0.028939132103089737 t0:0.9488537470698107 x0:9.81386759374383e-06 x1:0.4198210023074583 
SN228: c:0.05811873956581975 t0:1.1630033286565002 x0:8.855342997117358e-05 x1:0.5924277370514298 
SN229: c:0.07935493824891145 t0:15.724509999859354 x0:0.00035153483828472253 x1:3.1824279415312096 
SN230: c:0.06202001683963868 t0:4.226025268800808 x0:8.623914291127392e-05 x1:0.5338011996529934 
SN231: c:0.03909864086793725 t0:4.8989899647804895 x0:4.196825046396752e-05 x1:0.6368099018861716 
SN232: c:0.06078908472637259 t0:3.123918077095601 x0:2.4627909276001606e-05 x1:0.6943631030743531 
SN233: c:0.08100956148530626 t0:2.561124719697144 x0:4.1391116452369344e-05 x1:0.6036952669037681 
SN234: c:0.06598758896574056 t0:6.364633845668509 x0:0.00012153334621882152 x1:0.5963286073999908 
SN235: c:0.2806825238547129 t0:4.018155164001575 x0:6.583030200812975e-05 x1:0.7839604186358815 
SN236: c:0.06950576476932575 t0:1.1186441358661474 x0:0.6055094482635901 x1:0.4659254578577592 
SN237: c:0.06434885597486266 t0:4.16135274184994 x0:3.701536068092212e-05 x1:0.6656256291426798 
SN238: c:0.08604925606958663 t0:2.6466418728769954 x0:6.0020107409363757e-05 x1:0.760673616413042 
SN239: c:0 t0:0 x0:0 x1:0 
SN240: c:0.077308462129934 t0:12.384838832834236 x0:0.0001416263913415758 x1:0.7404140059202919 
SN241: c:0.07375534053779159 t0:2.001846436103507 x0:2.6573957714473157e-05 x1:0.7667787429323395 
SN242: c:0.012618251704830304 t0:0.2380914799638003 x0:6.360353592823238e-05 x1:0.10891977185426208 
SN243: c:0.06859449153334553 t0:1.611586219028711 x0:4.5905624174083264e-05 x1:0.6481645123301423 
SN244: c:0.05214711943168756 t0:1.3951778115300044 x0:3.424685233234762e-05 x1:0.5444589973238949 
SN245: c:0.06370963329494587 t0:1.6120756610508695 x0:5.323564965405852e-05 x1:0.7861795326618167 
SN246: c:0 t0:0 x0:0 x1:0 
SN247: c:0 t0:0 x0:0 x1:0 
SN248: c:0 t0:0 x0:0 x1:0 
SN249: c:0 t0:0 x0:0 x1:0 
SN250: c:0.2825687495231447 t0:3.088576667016764 x0:2.781576461808182e-05 x1:1.414298482624021 
SN251: c:0.037835151433647775 t0:0.4157838881229353 x0:4.49777770163075e-05 x1:0.47184756794461014 
SN252: c:0.05550053806772558 t0:2.6549714219123195 x0:3.232229440011518e-05 x1:0.6958544453043444 
SN253: c:0 t0:0 x0:0 x1:0 
SN254: c:0.036109948277239234 t0:0.7911537874381602 x0:3.970487406221513e-05 x1:0.4430868560737191 
SN255: c:0.033032047891183136 t0:1.6052483142735252 x0:4.048488051622331e-05 x1:0.7179446413322335 
SN256: c:0.09412927877220077 t0:2.009010203370212 x0:3.4381594277173886e-05 x1:0.72519366140105 
SN257: c:0.04017323586108811 t0:3.6321441143874633 x0:2.6396629660848495e-05 x1:0.716875190717812 
SN258: c:0.054645959398578865 t0:2.5734029969444916 x0:0.00013390249864611017 x1:0.6859032477056582 
