SN142: c:0.04911034558691872 mwebv:0.020480963188097775 t0:58561.89754635644 x0:0.0002679807908290615 x1:-0.2575438727887744 z:0.12951635469517686 
SN143: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN144: c:0.024297601300526522 mwebv:0.09517729257501022 t0:58602.434283623305 x0:0.0019502482119220165 x1:-0.43083666738343757 z:0.050582276984074824 
SN145: c:0.0208462822186944 mwebv:0.3855898343575718 t0:58600.507762214795 x0:0.0005858739048998791 x1:-0.740254682651477 z:0.10554806281856535 
SN146: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN147: c:0.0032486824979466606 mwebv:0.02272311487392191 t0:58861.03486597155 x0:0.0001735269679674154 x1:0.15181770582782123 z:0.1443005989470965 
SN148: c:0.03976990590044303 mwebv:0.1559933616074792 t0:58825.54794927125 x0:0.0007737198861884775 x1:-0.7178201701331283 z:0.1138727440898201 
SN149: c:-0.13100350754864773 mwebv:0.07817616828991482 t0:58780.19494288745 x0:0.0001752206080008387 x1:-0.06133924233382057 z:0.1392044614875274 
SN150: c:-0.05794700832752428 mwebv:0.03470090883150361 t0:58682.645857891526 x0:0.0005289699812896174 x1:-0.06746814784274487 z:0.14742364935404206 
SN151: c:-0.0017673076402700907 mwebv:0.2540222292306446 t0:58819.5268885288 x0:0.0007008514457640643 x1:-0.48351817081492043 z:0.12039448639539728 
SN152: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN153: c:0.039641501803303274 mwebv:0.05367427454566849 t0:58826.22962231903 x0:0.000358347922150407 x1:-0.4853343909572216 z:0.11912448587091144 
SN154: c:0.04693422097562283 mwebv:0.0949159898638948 t0:58574.10801741259 x0:0.0004497423348667513 x1:-0.6352922832220563 z:0.11131610156082167 
SN155: c:0.0635544299429839 mwebv:0.037177985317701466 t0:58713.64929863947 x0:0.0003968475705615746 x1:-0.7570150109695379 z:0.0992938170430033 
SN156: c:0.04871832860113565 mwebv:0.07943512968744551 t0:58911.64636340956 x0:0.00019800757084250466 x1:-0.5240661267245362 z:0.13884183550829426 
SN157: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN158: c:-0.0014496993897643062 mwebv:0.013549165631257487 t0:58916.15241485666 x0:0.0011537498443286766 x1:1.5298306844839589 z:0.07288531370760912 
SN159: c:0.02230109713486802 mwebv:0.12091813592825577 t0:58640.29799658477 x0:0.0006039599241864995 x1:-0.14796540159560942 z:0.09678531988227977 
SN160: c:-0.019286661985876894 mwebv:0.016548946503869236 t0:58653.60954072375 x0:0.000576899316377559 x1:0.05014515709365077 z:0.09362907811376049 
SN161: c:3.86151759187793e-05 mwebv:0.015269336551801172 t0:58816.97309255719 x0:0.0002984200510585146 x1:-0.31350664779698645 z:0.12224660325421485 
SN162: c:0.000262096600146626 mwebv:0.05996038427028339 t0:58832.12928341974 x0:0.00046520386134951897 x1:-2.613058033141642 z:0.08705844335649632 
SN163: c:0.005578761086229099 mwebv:0.25068214162252567 t0:58623.78959646128 x0:0.00032355723963879576 x1:-0.4617627907296148 z:0.1159829986298791 
SN164: c:0.02589686209078813 mwebv:0.17549564512865667 t0:58717.05101593918 x0:0.00258598269871261 x1:-1.5590265685161506 z:0.054965751382290255 
SN165: c:0.07363329441922452 mwebv:0.009826004320692899 t0:58556.33325372746 x0:0.0006265052426682636 x1:0.2735578049237226 z:0.1004977244224662 
SN166: c:0.050210068710261804 mwebv:0.6514257689022216 t0:58736.80275763795 x0:0.00062377550674904 x1:-0.550637508248764 z:0.14705472031662267 
SN167: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN168: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN169: c:0.02450124486281415 mwebv:0.4086146800007653 t0:58861.099221825316 x0:0.00019643189648595747 x1:-0.5407717999493716 z:0.13369631801007212 
SN170: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN171: c:0.0651631565421258 mwebv:0.013796958062909486 t0:58665.95766494276 x0:0.0006629957128971827 x1:-0.8185118015503825 z:0.08957076125913496 
SN172: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN173: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN174: c:0.026479076474321846 mwebv:0.06047158809332133 t0:58626.30821128808 x0:0.0006111562473108614 x1:-0.7703616221783437 z:0.13266573064659262 
SN175: c:-0.0008177778429925787 mwebv:0.04218124306963417 t0:58786.51952794124 x0:0.0003590835874833578 x1:0.041239438548601674 z:0.13688438481937912 
SN176: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN177: c:0.054276399636220676 mwebv:0.04682528155439344 t0:58902.99919537755 x0:0.0007170696550645182 x1:-0.4626832340582135 z:0.09153819991680842 
SN178: c:0.03513587014688005 mwebv:0.13831612472133753 t0:58723.67127730981 x0:0.00045911503095505727 x1:-0.19019961785832126 z:0.10712361580655552 
SN179: c:0.028403736991645286 mwebv:0.49850619900008364 t0:58850.249537395895 x0:0.0002546051414457642 x1:-0.5498216118693767 z:0.14076233281906467 
SN180: c:0.04118390131904381 mwebv:0.030272460037663255 t0:58800.9898134279 x0:0.000539306062063087 x1:-0.21897097315405117 z:0.14900724729093878 
SN181: c:0.013882836504446855 mwebv:0.10893729063882045 t0:58677.54091008718 x0:0.00023674821696166343 x1:-0.7371546698466919 z:0.14687203173537405 
SN182: c:0.0669781080763476 mwebv:0.10362484159625951 t0:58866.826294009974 x0:0.0003572363912868785 x1:-0.04364761415733201 z:0.12747342216703897 
SN183: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN184: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN185: c:0.12322200986130756 mwebv:0.009478264461953344 t0:58845.54493613711 x0:0.0005534013544653987 x1:-0.6526023987974632 z:0.09975172703462953 
SN186: c:0.0019136589155211222 mwebv:0.05377028770218593 t0:58645.496477935885 x0:0.002284123338818283 x1:0.347332375559289 z:0.047291194839603694 
SN187: c:-0.1608130617288438 mwebv:0.11288811024501666 t0:58721.625963181665 x0:0.0003498746403313658 x1:-0.5655633736380521 z:0.13379406523452475 
SN188: c:0.061980335281374595 mwebv:0.01480630395208856 t0:58838.50348949698 x0:0.00019830491690011028 x1:-0.39226991953774676 z:0.11976140640437735 
SN189: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN190: c:0.0594845362176732 mwebv:0.01708516661186231 t0:58808.73356378739 x0:0.00021765974520404922 x1:-0.22836372973312183 z:0.143374319417016 
SN191: c:0.028414942871746233 mwebv:0.5919369238344675 t0:58814.74095302187 x0:0.0005321404494371475 x1:-0.5795157451077374 z:0.1464038290489004 
SN192: c:0.07604462429708801 mwebv:0.046602013505895656 t0:58803.18428237717 x0:0.0005882985910410927 x1:-0.3243408870925114 z:0.08219864815360522 
SN193: c:0.04377669026131115 mwebv:0.267181775083586 t0:58624.249213540934 x0:0.0004062081239004291 x1:-0.7756577440530575 z:0.1228710726695966 
SN194: c:0.07752294267355841 mwebv:0.347880826014613 t0:58648.375143911435 x0:0.0006940558644842397 x1:0.04049179346239607 z:0.09179715898151436 
SN195: c:0.1310162163726382 mwebv:0.14682660166653885 t0:58618.93383818536 x0:0.0007818415761459694 x1:-0.9328696969059993 z:0.07405450118416843 
SN196: c:0.03321754261977589 mwebv:0.09676020905099304 t0:58882.98598804099 x0:0.0003392681864385557 x1:-0.3346370391406678 z:0.1428735900021942 
SN197: c:0.03876466523391966 mwebv:0.024565818288721543 t0:58645.74961502383 x0:0.0004898391229963785 x1:-0.2183307614196965 z:0.11792056425016262 
SN198: c:0.02075890990821789 mwebv:0.10451383982559367 t0:58601.08431233759 x0:0.0021512217958474596 x1:-0.8816449172087641 z:0.0862939079957979 
SN199: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN200: c:0.03331620141603303 mwebv:0.1946062804913896 t0:58551.75546812594 x0:0.0012150987907384209 x1:-0.7205458111730202 z:0.080136910995985 
SN201: c:0.1289910544873403 mwebv:0.0461152917032329 t0:58634.88900799896 x0:0.0003583265029774459 x1:-0.9167570736150379 z:0.13908603157920885 
SN202: c:-0.057331648640981836 mwebv:0.10086066298839468 t0:58768.31268077372 x0:0.0004575641973167058 x1:0.06138874998006471 z:0.0921340499375165 
SN203: c:0.04476191698879281 mwebv:0.2487173132290147 t0:58844.24383085712 x0:0.0003795815115470288 x1:-0.38291674405837306 z:0.11091184021919542 
SN204: c:0.031473617065118586 mwebv:0.27502461522364063 t0:58794.53868387753 x0:0.0008761561139187184 x1:-0.4199807506827005 z:0.10327625010962374 
SN205: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
